"cap-shape","cap-surface","cap-color","bruises%3F","odor","gill-attachment","gill-spacing","gill-size","gill-color","stalk-shape","stalk-root","stalk-surface-above-ring","stalk-surface-below-ring","stalk-color-above-ring","stalk-color-below-ring","veil-type","veil-color","ring-number","ring-type","spore-print-color","population","habitat","class"
'b','s','g','f','n','f','w','b','g','e',?,'k','s','w','w','p','w','t','p','w','n','g','e'
'x','y','c','f','m','f','c','b','y','e','c','k','y','c','c','p','w','n','n','w','c','d','p'
'k','f','w','f','n','f','w','b','w','e',?,'k','s','w','w','p','w','t','p','w','n','g','e'
'k','y','n','f','s','f','c','n','b','t',?,'k','k','p','p','p','w','o','e','w','v','l','p'
'k','s','e','f','y','f','c','n','b','t',?,'k','k','w','p','p','w','o','e','w','v','d','p'
'k','f','w','f','n','f','w','b','w','e',?,'k','k','w','w','p','w','t','p','w','s','g','e'
'f','s','n','f','n','a','c','b','o','e',?,'s','s','o','o','p','n','o','p','b','v','l','e'
'k','s','e','f','s','f','c','n','b','t',?,'s','s','p','w','p','w','o','e','w','v','p','p'
'x','s','n','f','n','a','c','b','y','e',?,'s','s','o','o','p','n','o','p','n','c','l','e'
'k','s','n','f','n','a','c','b','y','e',?,'s','s','o','o','p','n','o','p','o','c','l','e'
'k','s','n','f','n','a','c','b','y','e',?,'s','s','o','o','p','o','o','p','n','v','l','e'
'k','s','n','f','n','a','c','b','y','e',?,'s','s','o','o','p','n','o','p','y','v','l','e'
'k','s','n','f','n','a','c','b','o','e',?,'s','s','o','o','p','o','o','p','n','v','l','e'
'x','s','n','f','n','a','c','b','y','e',?,'s','s','o','o','p','o','o','p','n','c','l','e'
'k','y','e','f','y','f','c','n','b','t',?,'k','s','p','w','p','w','o','e','w','v','l','p'
'b','s','w','f','n','f','w','b','w','e',?,'s','s','w','w','p','w','t','p','w','n','g','e'
'x','s','n','f','n','a','c','b','o','e',?,'s','s','o','o','p','o','o','p','n','v','l','e'
'k','s','w','f','n','f','w','b','p','e',?,'s','s','w','w','p','w','t','p','w','n','g','e'
'k','s','n','f','n','a','c','b','o','e',?,'s','s','o','o','p','n','o','p','b','v','l','e'
'k','y','e','f','y','f','c','n','b','t',?,'k','k','p','p','p','w','o','e','w','v','d','p'
'f','y','c','f','m','a','c','b','y','e','c','k','y','c','c','p','w','n','n','w','c','d','p'
'x','s','n','f','n','a','c','b','y','e',?,'s','s','o','o','p','o','o','p','o','v','l','e'
'k','y','n','f','s','f','c','n','b','t',?,'s','k','p','w','p','w','o','e','w','v','l','p'
'k','s','e','f','y','f','c','n','b','t',?,'k','s','p','w','p','w','o','e','w','v','d','p'
'k','y','n','f','f','f','c','n','b','t',?,'k','s','p','w','p','w','o','e','w','v','d','p'
'k','s','n','f','n','a','c','b','y','e',?,'s','s','o','o','p','o','o','p','b','c','l','e'
'x','s','n','f','n','a','c','b','y','e',?,'s','s','o','o','p','n','o','p','b','v','l','e'
'f','s','n','f','n','a','c','b','n','e',?,'s','s','o','o','p','o','o','p','b','c','l','e'
'k','y','n','f','y','f','c','n','b','t',?,'s','k','w','w','p','w','o','e','w','v','l','p'
'x','s','n','f','n','a','c','b','y','e',?,'s','s','o','o','p','o','o','p','o','c','l','e'
