attendance,grade
93,83
93,63
100,101
100,96
96,88
68,60
86,77
100,94
89,88
93,97
86,102
100,96
96,82
82,82
100,96
71,57
11,4
61,77
89,86
100,86
89,74
79,90
79,80
86,100
50,92
100,90
86,15
75,58
68,94
100,101
100,93
96,88
100,94
100,101
43,70
96,88
82,86
86,99
96,100
96,73
75,93
93,91
39,89
96,76
82,57
68,73
93,90
46,70
96,98
96,72
86,89
75,55
39,94
76,70
34,7
97,96
97,87
97,80
72,23
90,90
100,95
93,80
100,90
93,96
59,74
100,85
86,99
48,27
97,71
76,80
100,99
97,96
100,99
4,
86,99
82,87
100,90
96,82
82,77
96,94
96,82
89,77
32,24
67,88
90,81
95,87
71,81
81,88
86,91
95,96
100,87
71,87
43,10
86,94
33,86
95,81
86,81
86,78
82,80
100,90
91,80
86,96
100,96
82,94
50,25
86,96
45,72
95,73
82,73
100,94
79,63
98,98
79,88
48,44
95,91
83,93
100,91
83,86
76,85
12,13
98,94
71,98
95,66
100,98
100,81
100,91
90,82
93,71
64,92
88,81
95,81
93,92
98,94
93,84
90,100
76,94
40,9
79,61
83,89
100,103
68,66
11,28
86,100
89,81
96,80
4,87
68,66
75,92
39,86
93,69
93,79
89,81
86,93
89,61
82,72
82,83
100,95
79,70
93,76
96,48
93,95
76,84
86,80
48,60
66,35
97,98
93,73
100,82
69,71
72,62
76,74
72,71
72,75
72,63
93,93
90,89
90,85
79,85
69,69
100,78
93,81
100,94
86,91
83,64
90,85
86,94
